Facility and Room,Responsible Person,Work Phone,Emergency Phone,Last Review Date,Hazard Description,Chemical Name,Last Modified,SDS Ref,Chemical ID,Chemical Amount,Units,Surplus,Storage Codes,CAS,Catalog,Comment
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,"Combustible Liquid, Class IIIA",DIETHYL PYROCARBONATE,9/10/2018,,4989,25,g,,,"=""1609-47-8""",159220,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,"Combustible Liquid, Class IIIB",TWEEN 20,9/10/2018,,754683,100,ml,,,"=""9005-64-5""",W291501,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,"Flammable Liquid, Class IB",100% ETHYL ALCOHOL,8/31/2018,,2290410,8,l,,,"=""64-17-5""",4355223,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Flammable Solid,"PARAFORMALDEHYDE POWDER, 95%",9/10/2018,,1391875,100,g,,,"=""30525-89-4""",158127,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Irritant,100% ETHYL ALCOHOL,8/31/2018,,2290410,8,l,,,"=""64-17-5""",4355223,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Irritant,16% PARAFORMALDEHYDE (FORMALDEHYDE) AQUEOUS SOLUTION,8/31/2018,,2284054,100,ml,,,"=""30525-89-4""",15710,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Irritant,DIETHYL PYROCARBONATE,9/10/2018,,4989,25,g,,,"=""1609-47-8""",159220,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Irritant,DIFCO MARINE BROTH,8/31/2018,,2292218,500,g,,,,279110,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Irritant,ETHYLENEDIAMINETETRAACETIC ACID,9/10/2018,,1124776,250,g,,,"=""60-00-4""",03609,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Irritant,"PARAFORMALDEHYDE POWDER, 95%",9/10/2018,,1391875,100,g,,,"=""30525-89-4""",158127,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Irritant,POTASSIUM PHOSPHATE MONOBASIC,9/10/2018,,167050,500,g,,,"=""7778-77-0""",P8416,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Irritant,RNALATER,8/31/2018,,1419041,1,l,,,,VARIOUS,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Irritant,SODIUM BICARBONATE,9/10/2018,,1017567,500,g,,,"=""144-55-8""",123360000,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Irritant,SODIUM CARBONATE,9/10/2018,,2632945,500,g,,,"=""497-19-8""",S263-1,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Irritant,TWEEN 20,9/10/2018,,754683,100,ml,,,"=""9005-64-5""",W291501,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,No identified hazard at this time,20X SSC BUFFER,9/10/2018,,2287644,1,l,,,,AM9765,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,No identified hazard at this time,50X TAE ELECTROPHORESIS BUFFER,8/31/2018,,2278431,2,l,,,,,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,No identified hazard at this time,AMPLITAQ GOLD LD,8/31/2018,,1208826,1,ml,,,,4338859,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,No identified hazard at this time,BROMOPHENOL BLUE,8/31/2018,,1017562,5,g,,,"=""115-39-9""",151340000,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,No identified hazard at this time,GLYCERIN,8/31/2018,,1209529,1,l,,,"=""56-81-5""",G153-1,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,No identified hazard at this time,L-GLUTAMIC ACID MONOSODIUM MONOHYDRATE,9/10/2018,,1163425,250,g,,,"=""6106-04-3""",G5917,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,No identified hazard at this time,"LYSOZYME, EGG WHITE",8/31/2018,,1365042,1,g,,,"=""12650-88-3""",61193-0010,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,No identified hazard at this time,PBS PH 7.4,9/10/2018,,2634295,1,l,,,,10010001,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,No identified hazard at this time,POTASSIUM CHLORIDE,9/10/2018,,1017569,500,g,,,"=""7447-40-7""",418200000,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,No identified hazard at this time,R2A AGAR,8/31/2018,,385697,500,g,,,,218261,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,No identified hazard at this time,SODIUM CHLORIDE,9/10/2018,,2278743,1,kg,,,"=""7647-14-5""",NC0989027,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,No identified hazard at this time,SODIUM PHOSPHATE DIBASIC ANHYDROUS,9/10/2018,,1416868,500,g,,,"=""7558-79-4""",56814,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,No identified hazard at this time,TRIS AMINO USP/EP GRADE BDH CHEMICALS,9/10/2018,,2275386,500,g,,,"=""1185-53-1""",BDH4500 SERIES,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,No identified hazard at this time,TRIS(HYDROXYMETHYL)AMINOMETHANE,9/10/2018,,1683166,500,g,,,"=""77-86-1""",252859,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,NOT CLASSIFIED,CARMINE SOLUTION,12/19/2024,,2647232,25,g,,,,28-0370,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Other Health Hazards - Including Carcinogens,100% ETHYL ALCOHOL,8/31/2018,,2290410,8,l,,,"=""64-17-5""",4355223,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Other Health Hazards - Including Carcinogens,16% PARAFORMALDEHYDE (FORMALDEHYDE) AQUEOUS SOLUTION,8/31/2018,,2284054,100,ml,,,"=""30525-89-4""",15710,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Other Health Hazards - Including Carcinogens,"PARAFORMALDEHYDE POWDER, 95%",9/10/2018,,1391875,100,g,,,"=""30525-89-4""",158127,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Sensitizer,16% PARAFORMALDEHYDE (FORMALDEHYDE) AQUEOUS SOLUTION,8/31/2018,,2284054,100,ml,,,"=""30525-89-4""",15710,
"Innovation Hall, Room 231",Jesse Zaneveld,5417602411,5417602411,12/19/2024,Sensitizer,"PARAFORMALDEHYDE POWDER, 95%",9/10/2018,,1391875,100,g,,,"=""30525-89-4""",158127,
