Facility and Room,Responsible Person,Work Phone,Emergency Phone,Last Review Date,Hazard Description,Chemical Name,Last Modified,SDS Ref,Chemical ID,Chemical Amount,Units,Surplus,Storage Codes,CAS,Catalog,Comment
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,"Combustible Liquid, Class IIIA",DIETHYL PYROCARBONATE,9/10/18,,4989,25,g,,,1609-47-8,159220,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,"Combustible Liquid, Class IIIA",DMSO,8/31/18,,2278630,500,ml,,,67-68-5,BP231-1,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,"Combustible Liquid, Class IIIB",TWEEN 20,9/10/18,,754683,100,ml,,,9005-64-5,W291501,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,"Flammable Liquid, Class IB",100% ETHYL ALCOHOL,8/31/18,,2290410,8,l,,,64-17-5,4355223,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Flammable Solid,"PARAFORMALDEHYDE POWDER, 95%",9/10/18,,1391875,100,g,,,30525-89-4,158127,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,100% ETHYL ALCOHOL,8/31/18,,2290410,8,l,,,64-17-5,4355223,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,16% PARAFORMALDEHYDE (FORMALDEHYDE) AQUEOUS SOLUTION,8/31/18,,2284054,100,ml,,,30525-89-4,15710,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,ACETYLSALICYLIC ACID,9/10/18,,129779,100,g,,,50-78-2,A5376,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,AMPICILLIN,9/10/18,,131853,5,g,,,69-53-4,A9393,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,CAFFEINE,9/10/18,,1366265,500,g,,,58-08-2,O1728-500,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,CALCIUM CHLORIDE DIHYDRATE,9/10/18,,138270,100,g,,,10035-04-8,C7902,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,DIETHYL PYROCARBONATE,9/10/18,,4989,25,g,,,1609-47-8,159220,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,DIFCO MARINE BROTH,8/31/18,,2292218,500,g,,, ,279110,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,DMSO,8/31/18,,2278630,500,ml,,,67-68-5,BP231-1,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,ETHYLENEDIAMINETETRAACETIC ACID,9/10/18,,1124776,250,g,,,60-00-4,3609,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,GLYCEROL,8/31/18,,1209529,1,l,,,56-81-5,158920000,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,"PARAFORMALDEHYDE POWDER, 95%",9/10/18,,1391875,100,g,,,30525-89-4,158127,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,PBS PH 7.4,9/10/18,,2285285,1,l,,,, ,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,POTASSIUM PHOSPHATE MONOBASIC,9/10/18,,167050,500,g,,,7778-77-0,P8416,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,RIFAMPICIN,9/10/18,,14146,1,g,,,13292-46-1,R3501,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,RNALATER,8/31/18,,1419041,1,l,,, ,VARIOUS,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,SODIUM BICARBONATE,9/10/18,,1017567,500,g,,,144-55-8,AC123360000,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,SODIUM CARBONATE ANHYDROUS,9/10/18,,2632945,500,g,,,497-19-8,S263-1,
